Date,t,Season,spot,Lag 1 Series,Lag 2 Series
Feb-17,530,Feb,1.2495,1.2367,1.2483
Mar-17,531,Mar,1.2347,1.2495,1.2367
Apr-17,532,Apr,1.2639,1.2347,1.2495
May-17,533,May,1.2929,1.2639,1.2347
Jun-17,534,Jun,1.281,1.2929,1.2639
Jul-17,535,Jul,1.2996,1.281,1.2929
Aug-17,536,Aug,1.2952,1.2996,1.281
Sep-17,537,Sep,1.334,1.2952,1.2996
Oct-17,538,Oct,1.3202,1.334,1.2952
Nov-17,539,Nov,1.3217,1.3202,1.334
Dec-17,540,Dec,1.3404,1.3217,1.3202
Jan-18,541,Jan,1.3824,1.3404,1.3217
Feb-18,542,Feb,1.3961,1.3824,1.3404
Mar-18,543,Mar,1.3976,1.3961,1.3824
Apr-18,544,Apr,1.4079,1.3976,1.3961
May-18,545,May,1.347,1.4079,1.3976
Jun-18,546,Jun,1.3294,1.347,1.4079
Jul-18,547,Jul,1.3162,1.3294,1.347
Aug-18,548,Aug,1.2878,1.3162,1.3294
Sep-18,549,Sep,1.3066,1.2878,1.3162
Oct-18,550,Oct,1.3012,1.3066,1.2878
Nov-18,551,Nov,1.29,1.3012,1.3066
Dec-18,552,Dec,1.2664,1.29,1.3012
Jan-19,553,Jan,1.2901,1.2664,1.29
Feb-19,554,Feb,1.3016,1.2901,1.2664
Mar-19,555,Mar,1.3167,1.3016,1.2901
Apr-19,556,Apr,1.3029,1.3167,1.3016
May-19,557,May,1.2855,1.3029,1.3167
Jun-19,558,Jun,1.2675,1.2855,1.3029
Jul-19,559,Jul,1.2461,1.2675,1.2855
Aug-19,560,Aug,1.216,1.2461,1.2675
Sep-19,561,Sep,1.2369,1.216,1.2461
Oct-19,562,Oct,1.2657,1.2369,1.216
Nov-19,563,Nov,1.2884,1.2657,1.2369
Dec-19,564,Dec,1.3109,1.2884,1.2657
Jan-20,565,Jan,1.3076,1.3109,1.2884
Feb-20,566,Feb,1.2953,1.3076,1.3109
Mar-20,567,Mar,1.2369,1.2953,1.3076
Apr-20,568,Apr,1.242,1.2369,1.2953
May-20,569,May,1.2302,1.242,1.2369
Jun-20,570,Jun,1.2523,1.2302,1.242
Jul-20,571,Jul,1.2701,1.2523,1.2302
Aug-20,572,Aug,1.3143,1.2701,1.2523
Sep-20,573,Sep,1.2947,1.3143,1.2701
Oct-20,574,Oct,1.298,1.2947,1.3143
Nov-20,575,Nov,1.3198,1.298,1.2947
Dec-20,576,Dec,1.3434,1.3198,1.298
Jan-21,577,Jan,1.3641,1.3434,1.3198
Feb-21,578,Feb,1.3867,1.3641,1.3434
Mar-21,579,Mar,1.3863,1.3867,1.3641
Apr-21,580,Apr,1.3845,1.3863,1.3867
May-21,581,May,1.4084,1.3845,1.3863
Jun-21,582,Jun,1.4025,1.4084,1.3845
Jul-21,583,Jul,1.3808,1.4025,1.4084
Aug-21,584,Aug,1.3797,1.3808,1.4025
Sep-21,585,Sep,1.3732,1.3797,1.3808
Oct-21,586,Oct,1.3701,1.3732,1.3797
Nov-21,587,Nov,1.3463,1.3701,1.3732
Dec-21,588,Dec,1.3303,1.3463,1.3701
Jan-22,589,Jan,1.3555,1.3303,1.3463
Feb-22,590,Feb,1.354,1.3555,1.3303
Mar-22,591,Mar,1.3168,1.354,1.3555
Apr-22,592,Apr,1.2933,1.3168,1.354
,,,,1.2933,1.3168
,,,,,1.2933
